deal_id,symbol,open_time,close_time,regime,layers,invested,pnl,return_pct,duration_h
1,ETH/USDC,2024-10-04T00:00:00+00:00,2024-10-12T00:00:00+00:00,DCA,1,180.0,4.6215,2.57,192.0
2,ETH/USDC,2024-10-12T00:00:00+00:00,2024-12-22T00:00:00+00:00,MARKUP,3,1783.29,569.6068,31.94,1704.0
3,ETH/USDC,2025-02-02T00:00:00+00:00,2025-07-02T00:00:00+00:00,MARKDOWN,3,2166.1,198.9491,9.18,3600.0
4,ETH/USDC,2025-09-18T00:00:00+00:00,2025-10-01T00:00:00+00:00,DCA,4,1539.21,61.2595,3.98,312.0
5,ETH/USDC,2025-10-01T00:00:00+00:00,2025-10-13T00:00:00+00:00,MARKUP,2,2245.68,-55.101,-2.45,288.0
7,SOL/USDC,2024-10-04T00:00:00+00:00,2024-10-06T00:00:00+00:00,DCA,1,180.0,4.0715,2.26,48.0
8,SOL/USDC,2024-10-07T00:00:00+00:00,2024-10-11T00:00:00+00:00,DCA,2,431.26,13.134,3.05,96.0
9,SOL/USDC,2024-10-12T00:00:00+00:00,2024-10-14T00:00:00+00:00,DCA,1,181.24,13.8529,7.64,48.0
10,SOL/USDC,2024-10-15T00:00:00+00:00,2024-10-18T00:00:00+00:00,DCA,2,435.91,7.6957,1.77,72.0
11,SOL/USDC,2024-10-19T00:00:00+00:00,2024-10-20T00:00:00+00:00,DCA,1,182.79,8.7054,4.76,24.0
12,SOL/USDC,2024-10-21T00:00:00+00:00,2024-10-23T00:00:00+00:00,DCA,1,183.42,5.1657,2.82,48.0
13,SOL/USDC,2024-10-24T00:00:00+00:00,2024-10-27T00:00:00+00:00,DCA,2,439.62,17.6177,4.01,72.0
14,SOL/USDC,2024-10-28T00:00:00+00:00,2024-11-06T00:00:00+00:00,DCA,3,787.33,86.9722,11.05,216.0
15,SOL/USDC,2024-11-07T00:00:00+00:00,2024-11-08T00:00:00+00:00,DCA,1,191.32,3.4103,1.78,24.0
16,SOL/USDC,2024-11-09T00:00:00+00:00,2024-11-10T00:00:00+00:00,DCA,1,191.57,9.756,5.09,24.0
17,SOL/USDC,2024-11-11T00:00:00+00:00,2024-11-17T00:00:00+00:00,DCA,2,459.9,45.9419,9.99,144.0
18,SOL/USDC,2024-11-18T00:00:00+00:00,2024-11-21T00:00:00+00:00,DCA,1,195.58,13.5228,6.91,72.0
19,SOL/USDC,2024-11-22T00:00:00+00:00,2024-11-27T00:00:00+00:00,DCA,3,836.22,15.5431,1.86,120.0
20,SOL/USDC,2024-11-28T00:00:00+00:00,2024-11-29T00:00:00+00:00,DCA,1,197.67,4.7755,2.42,24.0
21,SOL/USDC,2024-11-30T00:00:00+00:00,2024-12-05T00:00:00+00:00,DCA,2,473.64,10.891,2.3,120.0
22,SOL/USDC,2024-12-06T00:00:00+00:00,2025-01-02T00:00:00+00:00,DCA,7,2476.88,25.1106,1.01,648.0
23,SOL/USDC,2025-01-18T00:00:00+00:00,2025-02-18T00:00:00+00:00,MARKUP,1,282.97,-410.5286,-145.08,744.0
24,SOL/USDC,2025-05-02T00:00:00+00:00,2025-05-08T00:00:00+00:00,DCA,2,402.63,52.041,12.93,144.0
