deal_id,symbol,open_time,close_time,regime,layers,invested,pnl,return_pct,duration_h
1,ASTER/USDT,2026-03-01T13:00:00+00:00,2026-03-05T10:00:00+00:00,LONG_DCA,4,335.45,1.5555,0.46,93.0
2,ASTER/USDT,2026-03-05T11:00:00+00:00,2026-03-16T07:00:00+00:00,LONG_DCA,4,239.9,3.9741,1.66,260.0
3,ASTER/USDT,2026-03-16T08:00:00+00:00,2026-03-16T22:00:00+00:00,LONG_DCA,1,96.34,1.6268,1.69,14.0
4,ASTER/USDT,2026-03-16T23:00:00+00:00,2026-03-17T13:00:00+00:00,LONG_DCA,2,164.59,2.4355,1.48,14.0
5,ASTER/USDT,2026-03-17T14:00:00+00:00,2026-03-17T17:31:44.195087+00:00,LONG_DCA,1,110.87,1.6615,1.5,3.5
6,ASTER/USDT,2026-03-17T17:00:00+00:00,2026-03-17T20:17:11.114056+00:00,LONG_DCA,1,111.28,1.6227,1.46,3.3
7,ASTER/USDT,2026-03-17T20:00:00+00:00,2026-03-17T21:39:10.832144+00:00,LONG_DCA,1,111.76,1.6231,1.45,1.7
8,ASTER/USDT,2026-03-17T21:00:00+00:00,2026-03-18T00:00:00+00:00,LONG_DCA,2,190.81,2.8235,1.48,3.0
9,ASTER/USDT,2026-03-18T01:00:00+00:00,2026-03-18T03:35:18.769967+00:00,LONG_DCA,1,110.28,1.6071,1.46,2.6
10,ASTER/USDT,2026-03-18T03:00:00+00:00,2026-03-19T00:00:00+00:00,LONG_DCA,6,325.68,4.8195,1.48,21.0
