deal_id,symbol,open_time,close_time,layers,invested,proceeds,fee,pnl,return_pct,duration_h,fill_price,recorded_at
1,ASTER/USDT,2026-03-01T13:00:00+00:00,2026-03-05T10:00:00+00:00,4,335.45,,,1.5555,0.46,93.0,,
2,ASTER/USDT,2026-03-05T11:00:00+00:00,2026-03-16T07:00:00+00:00,4,239.9,,,3.9741,1.66,260.0,,
3,ASTER/USDT,2026-03-16T08:00:00+00:00,2026-03-16T22:00:00+00:00,1,96.34,,,1.6268,1.69,14.0,,
4,ASTER/USDT,2026-03-16T23:00:00+00:00,2026-03-17T13:00:00+00:00,2,164.59,,,2.4355,1.48,14.0,,
5,ASTER/USDT,2026-03-17T14:00:00+00:00,2026-03-17T17:31:44.195087+00:00,1,110.87,,,1.6615,1.5,3.5,,
6,ASTER/USDT,2026-03-17T17:00:00+00:00,2026-03-17T20:17:11.114056+00:00,1,111.28,,,1.6227,1.46,3.3,,
7,ASTER/USDT,2026-03-17T20:00:00+00:00,2026-03-17T21:39:10.832144+00:00,1,111.76,,,1.6231,1.45,1.7,,
8,ASTER/USDT,2026-03-17T21:00:00+00:00,2026-03-18T00:00:00+00:00,2,190.81,,,2.8235,1.48,3.0,,
9,ASTER/USDT,2026-03-18T01:00:00+00:00,2026-03-18T03:35:18.769967+00:00,1,110.28,,,1.6071,1.46,2.6,,
10,ASTER/USDT,2026-03-18T03:00:00+00:00,2026-03-19T00:00:00+00:00,6,325.68,,,4.8195,1.48,21.0,,
11,GRASS/USDT,2026-03-19T16:19:26.221842+00:00,2026-03-19T16:20:31.193995+00:00,1,17.028,17.069,0.0,0.0409,0.24,0.0,0.3735,2026-03-19T16:20:31.193995+00:00
12,GRASS/USDT,2026-03-19T17:01:05.539293+00:00,2026-03-19T17:15:17.056454+00:00,1,11.7083,11.8721,0.0,0.1638,1.4,0.2,0.3793,2026-03-19T17:15:17.056454+00:00
13,GRASS/USDT,2026-03-19T20:05:04.677585+00:00,2026-03-20T06:27:33.122880+00:00,2,26.7436,27.1932,0.0,0.4496,1.68,10.4,0.3999,2026-03-20T06:27:33.122880+00:00
14,TAO/USDT,2026-03-25T00:00:40.416378+00:00,2026-03-25T01:56:30.329726+00:00,1,50.1307,50.5879,0.0,0.4572,0.91,1.9,341.81,2026-03-25T01:56:30.330951+00:00
14,TAO/USDT,2026-03-25T02:00:58.491315+00:00,2026-03-25T07:12:48.044126+00:00,1,38.9668,39.3175,0.0,0.3506,0.9,5.2,344.89,2026-03-25T07:12:48.044126+00:00
15,TAO/USDT,2026-03-25T08:00:55.558358+00:00,2026-03-25T08:17:13.043718+00:00,1,39.0367,39.5523,0.0,0.5156,1.32,0.3,346.95,2026-03-25T08:17:13.043718+00:00
16,TAO/USDT,2026-03-25T09:01:00.496019+00:00,2026-03-25T09:56:35.918206+00:00,1,39.0284,39.4083,0.0,0.3799,0.97,0.9,351.86,2026-03-25T09:56:35.918206+00:00
17,TAO/USDT,2026-03-25T10:01:03.156032+00:00,2026-03-25T10:34:46.176033+00:00,1,38.9571,39.2359,0.0,0.2788,0.72,0.6,356.69,2026-03-25T10:34:46.176033+00:00
15,HYPE/USDT,2026-03-25T00:01:00.927865+00:00,2026-03-25T10:51:08.912823+00:00,1,23.8624,24.1422,0.0,0.2798,1.17,10.8,40.919,2026-03-25T10:51:08.916072+00:00
18,HYPE/USDT,2026-03-25T11:01:12.406841+00:00,2026-03-25T11:33:42.430992+00:00,1,22.6933,22.8074,0.0,0.1141,0.5,0.5,41.468,2026-03-25T11:33:42.430992+00:00
19,HYPE/USDT,2026-03-25T13:00:04.987501+00:00,2026-04-10T13:54:28.732431+00:00,1,22.7016,22.8767,0.0,0.1751,0.77,384.9,41.594,2026-04-10T13:54:28.735764+00:00
19,HYPE/USDT,2026-04-10T14:01:05.642673+00:00,2026-04-10T15:26:04.573511+00:00,1,19.5759,19.8223,0.0,0.2464,1.26,1.4,42.175,2026-04-10T15:26:04.573511+00:00
20,JTO/USDT,2026-04-10T16:01:08.927075+00:00,2026-04-10T19:10:47.696114+00:00,1,14.7842,14.9646,0.0,0.1804,1.22,3.2,0.3054,2026-04-10T19:10:47.697116+00:00
21,HYPE/USDT,2026-04-10T20:00:08.113680+00:00,2026-04-11T07:35:01.414405+00:00,1,19.5439,19.4433,0.0,-0.1006,-0.51,11.6,42.268,2026-04-11T07:35:01.415573+00:00
22,FET/USDT,2026-04-11T14:00:42.507154+00:00,2026-04-11T16:20:20.348729+00:00,1,38.4826,38.88,0.0,0.3974,1.03,2.3,0.24,2026-04-11T16:20:20.348729+00:00
23,FET/USDT,2026-04-11T17:00:55.914980+00:00,2026-04-11T19:27:02.530360+00:00,1,38.5808,38.9232,0.0,0.3424,0.89,2.4,0.2448,2026-04-11T19:27:02.530360+00:00
