deal_id,symbol,open_time,close_time,regime,layers,invested,pnl,return_pct,duration_h
16,HYPE/USDC,2026-02-25T20:00:00+00:00,2026-02-26T09:00:00+00:00,LONG_DCA,1,358.19,5.3159,1.48,13.0
1,ZRO/USDT,2026-02-25T20:00:00+00:00,2026-02-27T01:00:00+00:00,LONG_DCA,1,450.0,6.7506,1.5,29.0
2,ZRO/USDT,2026-02-27T02:00:00+00:00,2026-02-27T03:00:00+00:00,LONG_DCA,1,452.03,11.2545,2.49,1.0
3,ZRO/USDT,2026-02-27T04:00:00+00:00,2026-02-27T05:00:00+00:00,LONG_DCA,1,455.37,7.7761,1.71,1.0
17,HYPE/USDC,2026-02-26T10:00:00+00:00,2026-02-27T08:00:00+00:00,LONG_DCA,1,359.78,7.0427,1.96,22.0
18,HYPE/USDC,2026-02-27T09:00:00+00:00,2026-02-28T17:00:00+00:00,LONG_DCA,2,615.17,19.0733,3.1,32.0
4,ZRO/USDT,2026-02-27T06:00:00+00:00,2026-02-28T18:00:00+00:00,LONG_DCA,2,778.03,24.9793,3.21,36.0
5,ZRO/USDT,2026-02-28T19:00:00+00:00,2026-02-28T20:00:00+00:00,LONG_DCA,1,465.13,12.0938,2.6,1.0
19,HYPE/USDC,2026-02-28T18:00:00+00:00,2026-02-28T20:00:00+00:00,LONG_DCA,1,367.56,11.4116,3.1,2.0
6,ZRO/USDT,2026-02-28T21:00:00+00:00,2026-02-28T22:00:00+00:00,LONG_DCA,1,468.73,10.7791,2.3,1.0
20,HYPE/USDC,2026-02-28T21:00:00+00:00,2026-02-28T23:00:00+00:00,LONG_DCA,1,370.96,7.8534,2.12,2.0
21,HYPE/USDC,2026-03-01T00:00:00+00:00,2026-03-01T01:00:00+00:00,LONG_DCA,1,373.3,60.5123,16.21,1.0
7,ZRO/USDT,2026-02-28T23:00:00+00:00,2026-03-01T07:00:00+00:00,LONG_DCA,1,471.93,13.2722,2.81,8.0
22,HYPE/USDC,2026-03-01T02:00:00+00:00,2026-03-01T18:00:00+00:00,LONG_DCA,1,391.43,8.5611,2.19,16.0
23,HYPE/USDC,2026-03-01T19:00:00+00:00,2026-03-02T01:00:00+00:00,LONG_DCA,1,393.97,8.0904,2.05,6.0
8,ZRO/USDT,2026-03-01T08:00:00+00:00,2026-03-02T03:00:00+00:00,LONG_DCA,1,475.89,14.2643,3.0,19.0
9,ZRO/USDT,2026-03-02T04:00:00+00:00,2026-03-02T10:00:00+00:00,LONG_DCA,1,480.14,7.9754,1.66,6.0
24,HYPE/USDC,2026-03-02T02:00:00+00:00,2026-03-02T16:00:00+00:00,LONG_DCA,1,396.37,16.0844,4.06,14.0
10,ZRO/USDT,2026-03-02T11:00:00+00:00,2026-03-04T08:00:00+00:00,LONG_DCA,2,820.22,23.3643,2.85,45.0
11,ZRO/USDT,2026-03-04T09:00:00+00:00,2026-03-04T15:00:00+00:00,LONG_DCA,1,489.46,12.8599,2.63,6.0
14,SNX/USDT,2026-02-25T20:00:00+00:00,2026-03-04T15:00:00+00:00,LONG_DCA,7,1376.47,28.2957,2.06,163.0
25,HYPE/USDC,2026-03-02T17:00:00+00:00,2026-03-04T15:00:00+00:00,LONG_DCA,2,681.98,12.8991,1.89,46.0
27,HBAR/USDT,2026-02-25T20:00:00+00:00,2026-03-04T15:00:00+00:00,LONG_DCA,5,761.24,14.8838,1.96,163.0
12,ZRO/USDT,2026-03-04T16:00:00+00:00,2026-03-04T19:00:00+00:00,LONG_DCA,1,493.29,11.5618,2.34,3.0
