deal_id,symbol,open_time,close_time,regime,layers,invested,pnl,return_pct,duration_h
1,HBAR/USDT,2024-10-01T00:00:00+00:00,2024-10-04T00:00:00+00:00,LONG_DCA,2,1275.0,58.5293,4.59,72.0
2,HBAR/USDT,2024-10-05T00:00:00+00:00,2024-10-06T00:00:00+00:00,LONG_DCA,1,767.56,17.346,2.26,24.0
3,HBAR/USDT,2024-10-07T00:00:00+00:00,2024-10-14T00:00:00+00:00,LONG_DCA,2,1313.7,49.2292,3.75,168.0
4,HBAR/USDT,2024-10-15T00:00:00+00:00,2024-10-20T00:00:00+00:00,LONG_DCA,3,1724.69,59.961,3.48,120.0
5,HBAR/USDT,2024-10-21T00:00:00+00:00,2024-11-08T00:00:00+00:00,LONG_DCA,7,2463.94,139.9444,5.68,432.0
6,HBAR/USDT,2024-11-09T00:00:00+00:00,2024-11-10T00:00:00+00:00,LONG_DCA,1,847.5,33.9001,4.0,24.0
7,HBAR/USDT,2024-11-11T00:00:00+00:00,2024-11-12T00:00:00+00:00,LONG_DCA,1,857.67,92.781,10.82,24.0
8,HBAR/USDT,2024-11-13T00:00:00+00:00,2024-11-14T00:00:00+00:00,LONG_DCA,1,885.51,65.5049,7.4,24.0
9,HBAR/USDT,2024-11-15T00:00:00+00:00,2024-11-16T00:00:00+00:00,LONG_DCA,1,905.16,221.9139,24.52,24.0
10,HBAR/USDT,2024-11-17T00:00:00+00:00,2024-11-18T00:00:00+00:00,LONG_DCA,1,971.73,582.4797,59.94,24.0
11,HBAR/USDT,2024-11-19T00:00:00+00:00,2024-11-22T00:00:00+00:00,LONG_DCA,2,1949.01,283.9454,14.57,72.0
12,HBAR/USDT,2024-11-23T00:00:00+00:00,2024-11-29T00:00:00+00:00,LONG_DCA,3,2697.34,560.7466,20.79,144.0
13,HBAR/USDT,2024-11-30T00:00:00+00:00,2024-12-01T00:00:00+00:00,LONG_DCA,1,1399.88,316.4877,22.61,24.0
14,HBAR/USDT,2024-12-02T00:00:00+00:00,2024-12-06T00:00:00+00:00,LONG_DCA,2,2541.21,559.2113,22.01,96.0
15,HBAR/USDT,2024-12-07T00:00:00+00:00,2024-12-12T00:00:00+00:00,LONG_DCA,3,3641.08,-149.8814,-4.12,120.0
16,HBAR/USDT,2024-12-13T00:00:00+00:00,2024-12-14T00:00:00+00:00,SHORT_DCA,1,1617.63,91.2227,5.64,24.0
17,HBAR/USDT,2024-12-15T00:00:00+00:00,2024-12-16T00:00:00+00:00,SHORT_DCA,1,1648.75,69.6424,4.22,24.0
18,HBAR/USDT,2024-12-17T00:00:00+00:00,2024-12-18T00:00:00+00:00,SHORT_DCA,1,1671.67,65.9487,3.95,24.0
19,HBAR/USDT,2024-12-19T00:00:00+00:00,2024-12-21T00:00:00+00:00,SHORT_DCA,1,1693.23,78.4831,4.64,48.0
20,HBAR/USDT,2024-12-22T00:00:00+00:00,2024-12-26T00:00:00+00:00,SHORT_DCA,4,4355.06,69.8355,1.6,96.0
21,HBAR/USDT,2024-12-27T00:00:00+00:00,2024-12-29T00:00:00+00:00,SHORT_DCA,2,2959.67,49.042,1.66,48.0
22,HBAR/USDT,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,SHORT_DCA,1,1756.21,56.5897,3.22,24.0
23,HBAR/USDT,2025-01-01T00:00:00+00:00,2025-01-07T00:00:00+00:00,SHORT_DCA,2,3016.48,120.4989,3.99,144.0
24,HBAR/USDT,2025-01-08T00:00:00+00:00,2025-01-09T00:00:00+00:00,SHORT_DCA,1,1813.85,92.163,5.08,24.0
25,HBAR/USDT,2025-01-10T00:00:00+00:00,2025-01-12T00:00:00+00:00,SHORT_DCA,2,3136.22,80.5572,2.57,48.0
26,HBAR/USDT,2025-01-13T00:00:00+00:00,2025-01-28T00:00:00+00:00,SHORT_DCA,7,5721.06,124.8861,2.18,360.0
27,HBAR/USDT,2025-01-29T00:00:00+00:00,2025-01-31T00:00:00+00:00,SHORT_DCA,2,3246.26,49.7776,1.53,48.0
28,HBAR/USDT,2025-02-01T00:00:00+00:00,2025-02-02T00:00:00+00:00,SHORT_DCA,1,1924.98,171.4906,8.91,24.0
