ext_atr_at_entry,rsi_at_entry,max_adverse_pct,duration_h,return_pct,layers
0,50.0,1.38,70,2.97,2
0,50.0,2.8,155,2.97,3
0,50.0,8.28,589,2.97,3
1.307,63.5,0.31,3,2.97,1
1.99,63.5,2.56,36,2.97,2
1.996,55.8,10.62,255,2.97,3
0.963,49.4,4.12,71,2.97,3
0.971,54.5,0.17,3,2.97,1
1.001,54.5,1.24,17,2.97,2
1.207,52.1,6.54,128,2.97,3
1.663,60.1,0.92,2,2.97,2
2.342,60.1,2.31,4,2.97,2
1.823,51.3,0.43,2,2.97,1
1.949,51.3,0.42,2,2.97,1
1.747,51.3,20.04,413,2.97,3
1.929,46.4,0.0,1,2.97,1
2.143,46.4,0.0,1,2.97,1
