ext_atr_at_entry,rsi_at_entry,max_adverse_pct,duration_h,return_pct,layers
0,50.0,2.99,27,2.97,2
0,50.0,10.12,47,2.97,3
0,50.0,12.25,181,2.97,3
0,50.0,0.02,17,2.97,1
0,50.0,1.59,3,2.97,2
0,50.0,0.02,3,2.97,1
2.897,64.9,0.0,4,2.97,1
1.288,59.1,0.02,2,2.97,1
1.806,59.1,3.46,23,2.97,3
1.947,61.3,3.42,24,2.97,3
1.693,77.1,0.0,1,2.97,1
1.929,77.1,3.43,26,2.97,3
1.924,66.3,0.0,1,2.97,1
2.2,66.3,0.51,2,2.97,1
2.294,66.3,0.16,2,2.97,1
1.968,50.5,20.32,350,2.97,3
1.934,56.9,0.71,2,2.97,1
2.214,56.9,14.47,60,2.97,3
