coin,ext_atr_at_entry,rsi_at_entry,max_adverse_pct,duration_h,return_pct,layers
BTC,,,3.12,52,2.97,3
BTC,,,0.48,44,2.97,1
BTC,,,1.38,44,2.97,2
BTC,,,0.0,1,2.97,1
BTC,,,1.62,17,2.97,2
BTC,,,1.11,5,2.97,2
BTC,,,7.38,147,2.97,3
BTC,,,0.18,9,2.97,1
BTC,,,1.36,9,2.97,2
BTC,,,1.78,53,2.97,2
BTC,,,1.32,42,2.97,2
BTC,,,7.11,215,2.97,3
BTC,,,1.99,21,2.97,2
BTC,,,1.23,44,2.97,2
BTC,,,3.13,44,2.97,3
BTC,,,63.04,2498,2.97,3
BTC,2.714,55.3,9.74,1306,2.97,3
BTC,4.046,68.4,2.94,98,2.97,2
BTC,2.907,55.3,4.88,279,2.97,3
BTC,2.583,48.3,17.24,1187,2.97,3
BTC,2.88,62.5,0.72,25,2.97,1
BTC,1.546,56.3,2.04,33,2.97,2
BTC,1.809,58.8,0.4,12,2.97,1
BTC,2.252,58.8,0.53,11,2.97,1
BTC,2.709,59.5,1.27,71,2.97,2
BTC,2.634,75.9,0.32,2,2.97,1
BTC,3.068,66.5,2.69,5,2.97,2
BTC,2.612,58.0,2.41,12,2.97,2
BTC,2.85,58.0,2.58,19,2.97,3
BTC,2.942,56.7,21.45,240,2.97,3
BTC,1.857,53.9,0.58,2,2.97,1
BTC,2.311,53.9,13.88,139,2.97,3
BTC,1.78,62.8,2.84,28,2.97,2
BTC,1.926,64.7,1.66,11,2.97,2
BTC,2.259,63.1,1.13,9,2.97,2
BTC,2.446,63.1,5.27,48,2.97,3
BTC,2.848,75.3,0.21,2,2.97,1
BTC,2.907,75.3,1.49,5,2.97,1
BTC,2.218,49.7,2.7,12,2.97,3
BTC,2.417,49.7,15.39,143,2.97,3
BTC,2.268,52.8,9.11,131,2.97,3
BTC,2.626,66.4,0.66,23,2.97,1
BTC,2.776,69.1,2.3,12,2.97,2
BTC,2.202,59.9,3.15,18,2.97,3
BTC,2.531,59.9,0.62,20,2.97,1
BTC,2.738,60.5,13.73,346,2.97,3
BTC,2.011,54.5,6.38,193,2.97,3
BTC,2.122,59.9,3.01,75,2.97,3
BTC,2.793,65.0,0.73,21,2.97,1
BTC,0.062,44.9,15.95,287,2.97,3
BTC,0.25,51.8,6.86,161,2.97,3
BTC,0.355,56.1,1.42,14,2.97,2
BTC,0.626,54.5,50.57,3836,2.97,3
BTC,3.289,64.9,2.25,31,2.97,2
BTC,2.987,57.1,2.9,81,2.97,3
BTC,2.472,67.7,0.78,24,2.97,1
BTC,2.404,54.0,75.98,20198,2.97,3
BTC,3.134,46.7,8.58,182,2.97,3
BTC,2.641,59.1,1.59,71,2.97,2
BTC,2.78,57.9,8.56,258,2.97,3
BTC,2.298,53.3,31.67,5081,2.97,3
BTC,4.91,66.9,2.79,40,2.97,2
BTC,4.49,67.5,1.68,44,2.97,2
BTC,3.583,56.6,4.48,68,2.97,3
BTC,1.181,45.0,4.05,90,2.97,3
BTC,0.811,54.0,5.05,295,2.97,3
BTC,0.444,49.8,0.36,12,2.97,1
BTC,1.342,49.8,11.4,263,2.97,3
BTC,1.855,65.0,4.03,62,2.97,3
BTC,2.026,64.5,29.26,2911,2.97,3
BTC,4.667,65.1,9.31,1075,2.97,3
BTC,1.585,71.0,0.22,25,2.97,1
BTC,3.705,65.2,5.38,578,2.97,3
BTC,2.821,62.1,10.88,1319,2.97,3
ETH,,,0.07,16,2.97,1
ETH,,,3.69,48,2.97,3
ETH,,,1.0,45,2.97,1
ETH,,,1.66,16,2.97,2
ETH,,,1.26,15,2.97,1
ETH,,,2.94,23,2.97,2
ETH,,,6.01,144,2.97,3
ETH,,,0.28,7,2.97,1
ETH,,,0.23,4,2.97,1
ETH,,,1.33,2,2.97,2
ETH,,,2.65,6,2.97,2
ETH,,,3.93,52,2.97,3
ETH,,,7.2,144,2.97,3
ETH,,,1.48,29,2.97,2
