coin,ext_atr_at_entry,rsi_at_entry,max_adverse_pct,duration_h,return_pct,layers
BTC,,,0.94,24,2.97,1
BTC,,,1.14,45,2.97,2
BTC,,,1.55,91,2.97,2
BTC,,,2.83,51,2.97,3
BTC,,,1.36,86,2.97,1
BTC,,,4.21,121,2.97,3
BTC,,,4.12,276,2.97,3
BTC,,,1.5,51,2.97,2
BTC,,,0.85,17,2.97,1
ETH,,,1.5,23,2.97,2
ETH,,,2.45,46,2.97,2
ETH,,,2.8,91,2.97,3
ETH,,,4.81,51,2.97,3
ETH,,,2.51,86,2.97,3
SOL,,,2.25,24,2.97,2
SOL,,,2.91,44,2.97,3
SOL,,,3.62,160,2.97,3
SOL,,,2.91,51,2.97,3
SOL,,,8.58,526,2.97,3
SOL,,,0.66,47,2.97,1
XRP,,,1.84,26,2.97,2
XRP,,,2.68,43,2.97,2
XRP,,,3.01,188,2.97,3
XRP,,,0.63,17,2.97,1
XRP,,,0.24,5,2.97,1
XRP,,,1.57,18,2.97,2
XRP,,,8.37,651,2.97,3
LINK,,,1.86,24,2.97,2
LINK,,,0.02,8,2.97,1
LINK,,,3.98,36,2.97,3
LINK,,,5.58,208,2.97,3
LINK,,,0.35,3,2.97,1
LINK,,,1.65,17,2.97,2
LINK,,,7.84,450,2.97,3
LINK,,,2.76,57,2.97,3
LINK,,,0.99,45,2.97,1
LINK,,,2.95,124,2.97,3
DOGE,,,1.67,70,2.97,2
DOGE,,,3.55,159,2.97,3
DOGE,,,2.4,37,2.97,2
DOGE,,,1.56,13,2.97,2
DOGE,,,2.32,21,2.97,2
DOGE,,,7.25,279,2.97,3
DOGE,,,0.0,1,2.97,1
DOGE,,,0.73,23,2.97,1
DOGE,,,2.25,57,2.97,2
ADA,,,2.8,24,2.97,2
ADA,,,4.64,45,2.97,3
ADA,,,9.32,231,2.97,3
ADA,,,8.2,449,2.97,3
ADA,,,3.6,60,2.97,3
ADA,,,1.96,41,2.97,2
LTC,,,1.39,70,2.97,2
LTC,,,3.77,211,2.97,3
LTC,,,3.48,303,2.97,3
LTC,,,2.98,165,2.97,3
LTC,,,2.36,64,2.97,2
LTC,,,1.49,46,2.97,2
AVAX,,,2.56,24,2.97,2
AVAX,,,8.67,46,2.97,3
AVAX,,,3.34,46,2.97,3
AVAX,,,1.5,44,2.97,2
AVAX,,,4.49,50,2.97,3
AVAX,,,3.49,67,2.97,3
AVAX,,,8.32,534,2.97,3
AVAX,,,1.94,39,2.97,2
DOT,,,2.43,33,2.97,2
DOT,,,5.98,37,2.97,3
DOT,,,3.72,45,2.97,3
DOT,,,12.22,165,2.97,3
DOT,,,10.6,523,2.97,3
DOT,,,0.32,6,2.97,1
DOT,,,2.85,43,2.97,2
DOT,,,5.81,62,2.97,3
UNI,,,1.37,26,2.97,2
UNI,,,3.54,43,2.97,3
UNI,,,7.45,206,2.97,3
UNI,,,0.0,1,2.97,1
UNI,,,0.41,3,2.97,1
UNI,,,2.4,17,2.97,2
UNI,,,10.45,504,2.97,3
UNI,,,0.5,6,2.97,1
UNI,,,0.7,2,2.97,1
UNI,,,1.38,15,2.97,2
ATOM,,,2.19,32,2.97,2
ATOM,,,3.11,38,2.97,3
ATOM,,,1.92,52,2.97,2
ATOM,,,5.92,287,2.97,3
ATOM,,,1.62,51,2.97,2
ATOM,,,0.08,17,2.97,1
ATOM,,,6.47,373,2.97,3
ATOM,,,2.34,17,2.97,2
ATOM,,,2.68,31,2.97,3
ATOM,,,1.49,9,2.97,2
ATOM,,,5.43,114,2.97,3
ATOM,,,4.77,74,2.97,3
ATOM,2.168,65.7,1.37,27,2.97,1
ATOM,2.589,57.9,0.0,2,2.97,1
NEAR,,,2.26,34,2.97,2
NEAR,,,4.58,35,2.97,3
NEAR,,,1.45,8,2.97,2
NEAR,,,2.94,81,2.97,2
NEAR,,,3.79,53,2.97,3
NEAR,,,3.48,52,2.97,3
NEAR,,,11.83,486,2.97,3
NEAR,,,2.99,4,2.97,3
NEAR,,,2.75,38,2.97,3
NEAR,,,1.11,7,2.97,2
NEAR,,,1.59,8,2.97,2
NEAR,,,1.25,10,2.97,1
NEAR,,,3.37,33,2.97,3
NEAR,,,0.0,10,2.97,1
NEAR,,,2.57,10,2.97,2
NEAR,,,2.75,19,2.97,3
NEAR,3.642,63.0,3.37,7,2.97,2
NEAR,0.38,50.7,0.0,1,2.97,1
NEAR,0.43,50.7,2.95,4,2.97,2
NEAR,0.494,50.7,1.97,7,2.97,2
NEAR,0.902,50.7,0.0,1,2.97,1
NEAR,0.952,50.7,2.88,5,2.97,2
NEAR,1.027,50.7,1.66,3,2.97,2
NEAR,1.038,51.2,2.2,3,2.97,2
NEAR,1.28,51.2,1.33,5,2.97,2
NEAR,1.291,51.2,1.19,2,2.97,1
NEAR,1.489,51.2,6.65,28,2.97,3
NEAR,1.399,46.6,10.65,121,2.97,3
NEAR,1.385,57.9,0.39,4,2.97,1
NEAR,1.84,55.2,1.08,6,2.97,1
NEAR,2.356,55.2,4.92,23,2.97,3
HBAR,,,1.68,34,2.97,2
HBAR,,,3.1,36,2.97,3
HBAR,,,7.84,745,2.97,3
HBAR,,,2.41,38,2.97,2
INJ,,,1.52,26,2.97,2
INJ,,,0.82,9,2.97,1
INJ,,,4.75,34,2.97,3
INJ,,,3.09,62,2.97,3
INJ,,,3.78,119,2.97,3
INJ,,,0.06,3,2.97,1
INJ,,,0.61,2,2.97,1
INJ,,,1.44,9,2.97,2
INJ,,,1.28,5,2.97,1
INJ,,,0.15,4,2.97,1
INJ,,,6.62,206,2.97,3
INJ,,,0.0,6,2.97,1
INJ,,,0.82,13,2.97,1
INJ,,,0.0,8,2.97,1
INJ,,,0.0,5,2.97,1
INJ,,,1.33,14,2.97,2
INJ,,,1.22,4,2.97,1
INJ,,,2.86,89,2.97,3
INJ,,,1.37,32,2.97,2
INJ,,,1.33,17,2.97,1
INJ,,,2.14,5,2.97,2
INJ,1.311,46.8,10.68,70,2.97,3
INJ,1.227,53.5,0.54,3,2.97,1
INJ,1.366,51.7,2.83,7,2.97,2
INJ,1.508,51.7,1.25,7,2.97,2
INJ,1.621,51.7,3.71,16,2.97,3
INJ,1.676,43.8,14.24,164,2.97,3
INJ,1.527,50.9,0.0,1,2.97,1
FIL,,,2.4,26,2.97,2
FIL,,,0.61,6,2.97,1
FIL,,,0.02,2,2.97,1
FIL,,,4.69,33,2.97,3
FIL,,,5.79,195,2.97,3
FIL,,,0.0,1,2.97,1
FIL,,,1.24,8,2.97,2
FIL,,,0.0,1,2.97,1
FIL,,,10.76,466,2.97,3
RUNE,,,1.34,24,2.97,2
RUNE,,,2.14,45,2.97,2
RUNE,,,3.97,159,2.97,3
RUNE,,,2.06,52,2.97,2
RUNE,,,1.22,17,2.97,1
RUNE,,,4.14,48,2.97,3
RUNE,,,1.48,40,2.97,2
RUNE,,,2.66,26,2.97,2
CRV,,,2.84,26,2.97,3
CRV,,,5.58,43,2.97,3
CRV,,,1.45,9,2.97,1
CRV,,,7.35,196,2.97,3
CRV,,,0.2,2,2.97,1
CRV,,,0.11,2,2.97,1
CRV,,,1.61,17,2.97,2
CRV,,,6.56,399,2.97,3
CRV,,,2.83,50,2.97,2
CRV,,,3.84,54,2.97,3
CRV,,,2.5,48,2.97,2
CRV,,,2.89,17,2.97,3
CRV,,,2.37,5,2.97,2
CRV,,,0.0,2,2.97,1
CRV,,,31.55,633,2.97,3
CRV,1.228,56.9,2.95,4,2.97,2
CRV,1.42,56.9,2.56,8,2.97,3
CRV,1.442,57.3,0.92,2,2.97,1
SNX,,,2.24,22,2.97,2
SNX,,,0.72,14,2.97,1
SNX,,,0.0,1,2.97,1
SNX,,,3.95,31,2.97,3
SNX,,,5.89,232,2.97,3
SNX,,,7.28,216,2.97,3
SNX,,,0.02,9,2.97,1
SNX,,,10.35,259,2.97,3
SNX,,,0.87,14,2.97,1
SNX,,,0.0,1,2.97,1
SNX,,,0.0,1,2.97,1
DYDX,,,3.49,27,2.97,3
DYDX,,,10.26,47,2.97,3
DYDX,,,12.38,181,2.97,3
DYDX,,,0.03,17,2.97,1
DYDX,,,1.85,3,2.97,2
DYDX,,,0.02,3,2.97,1
DYDX,,,0.0,4,2.97,1
DYDX,,,0.03,2,2.97,1
DYDX,,,3.67,23,2.97,3
DYDX,,,3.89,26,2.97,3
DYDX,,,3.6,26,2.97,3
DYDX,,,0.0,1,2.97,1
DYDX,,,0.51,2,2.97,1
DYDX,,,0.16,2,2.97,1
DYDX,,,20.42,350,2.97,3
DYDX,1.934,56.9,0.71,2,2.97,1
DYDX,2.214,56.9,14.69,61,2.97,3
LDO,,,1.71,26,2.97,2
LDO,,,3.4,43,2.97,3
LDO,,,5.53,92,2.97,3
LDO,,,9.62,51,2.97,3
LDO,,,1.19,4,2.97,2
LDO,,,1.27,7,2.97,2
LDO,,,7.06,25,2.97,3
LDO,,,2.28,4,2.97,2
LDO,,,0.85,6,2.97,1
LDO,,,0.39,5,2.97,1
LDO,,,1.2,3,2.97,2
LDO,,,1.23,2,2.97,2
LDO,,,1.4,2,2.97,1
LDO,,,1.44,6,2.97,2
LDO,,,0.02,4,2.97,1
LDO,,,2.14,4,2.97,2
LDO,,,0.0,9,2.97,1
LDO,,,0.28,2,2.97,1
LDO,,,4.84,103,2.97,3
LDO,,,2.8,2,2.97,2
LDO,,,0.0,1,2.97,1
LDO,,,0.02,16,2.97,1
LDO,,,1.86,59,2.97,2
LDO,,,1.86,46,2.97,2
LDO,,,0.5,5,2.97,1
LDO,,,3.22,48,2.97,3
LDO,,,1.36,7,2.97,2
LDO,,,3.31,44,2.97,3
LDO,,,2.82,14,2.97,3
LDO,,,1.27,3,2.97,2
LDO,,,1.99,4,2.97,2
LDO,,,2.63,40,2.97,2
ARB,,,2.79,24,2.97,2
ARB,,,0.02,8,2.97,1
ARB,,,4.55,36,2.97,3
ARB,,,1.66,22,2.97,2
ARB,,,2.56,23,2.97,3
ARB,,,0.77,3,2.97,1
ARB,,,1.3,19,2.97,1
ARB,,,1.42,4,2.97,2
ARB,,,7.86,130,2.97,3
ARB,,,0.0,1,2.97,1
ARB,,,0.11,2,2.97,1
ARB,,,3.4,16,2.97,3
ARB,,,14.73,507,2.97,3
ARB,,,0.0,1,2.97,1
ARB,,,0.0,4,2.97,1
OP,,,2.82,26,2.97,3
OP,,,2.29,42,2.97,2
OP,,,8.97,186,2.97,3
OP,,,1.03,19,2.97,1
OP,,,1.46,2,2.97,1
OP,,,0.0,2,2.97,1
OP,,,2.11,19,2.97,2
OP,,,12.07,450,2.97,3
OP,,,1.98,10,2.97,2
STX,,,2.66,26,2.97,2
STX,,,0.39,6,2.97,1
STX,,,5.42,224,2.97,3
STX,,,1.56,24,2.97,2
STX,,,10.62,456,2.97,3
STX,,,0.74,2,2.97,1
STX,,,2.71,26,2.97,2
STX,,,0.0,1,2.97,1
STX,,,6.18,43,2.97,3
STX,,,2.89,87,2.97,3
STX,,,1.34,29,2.97,2
STX,,,6.21,47,2.97,3
SEI,,,3.53,34,2.97,3
SEI,,,3.68,35,2.97,3
SEI,,,0.91,12,2.97,1
SEI,,,6.12,198,2.97,3
SEI,,,7.73,129,2.97,3
SEI,,,9.68,397,2.97,3
SEI,,,0.04,5,2.97,1
SEI,,,11.25,313,2.97,3
SEI,1.427,60.5,0.0,3,2.97,1
RENDER,,,2.4,24,2.97,2
RENDER,,,0.0,3,2.97,1
RENDER,,,4.31,40,2.97,3
RENDER,,,0.0,1,2.97,1
RENDER,,,0.61,7,2.97,1
RENDER,,,20.04,1134,2.97,3
RENDER,2.54,74.5,1.94,14,2.97,2
RENDER,2.807,59.5,0.51,2,2.97,1
SUI,,,2.83,26,2.97,3
SUI,,,0.84,7,2.97,1
SUI,,,3.9,35,2.97,3
SUI,,,5.45,196,2.97,3
SUI,,,1.3,14,2.97,2
SUI,,,2.34,18,2.97,2
SUI,,,13.84,514,2.97,3
FET,,,3.51,24,2.97,3
FET,,,7.49,45,2.97,3
FET,,,1.56,7,2.97,2
FET,,,24.91,1157,2.97,3
FET,2.022,61.9,0.8,3,2.97,1
FET,2.181,61.9,2.3,8,2.97,2
FET,1.607,56.4,8.99,48,2.97,3
FET,1.323,70.7,2.12,4,2.97,2
FET,1.658,70.7,5.03,9,2.97,3
FET,1.981,70.7,6.26,15,2.97,3
FET,1.701,65.8,0.0,1,2.97,1
FET,2.536,65.8,1.35,2,2.97,2
FET,2.716,65.8,1.97,9,2.97,2
FET,2.655,67.0,0.46,2,2.97,1
FET,2.856,67.0,5.13,16,2.97,3
FET,2.712,67.0,2.75,5,2.97,3
FET,2.815,53.8,2.21,7,2.97,2
FET,2.705,53.8,6.27,7,2.97,3
FET,2.668,53.8,3.16,10,2.97,3
TAO,,,1.74,23,2.97,2
TAO,,,1.0,4,2.97,1
TAO,,,1.44,5,2.97,1
TAO,,,3.37,34,2.97,3
TAO,,,0.86,9,2.97,1
TON,,,1.84,77,2.97,2
TON,,,3.58,33,2.97,3
TON,,,2.84,32,2.97,2
TON,,,0.56,8,2.97,1
TON,,,0.39,3,2.97,1
TON,,,0.6,3,2.97,1
TON,,,15.22,555,2.97,3
JUP,,,2.86,26,2.97,3
JUP,,,4.23,43,2.97,3
JUP,,,6.51,208,2.97,3
JUP,,,0.2,2,2.97,1
JUP,,,0.86,13,2.97,1
JUP,,,9.21,235,2.97,3
JUP,,,7.9,214,2.97,3
JUP,,,0.7,6,2.97,1
JUP,,,1.41,3,2.97,2
JUP,,,2.89,18,2.97,3
JUP,,,1.23,15,2.97,2
JUP,,,35.65,997,2.97,3
JUP,1.957,67.6,13.21,148,2.97,3
JUP,2.052,65.7,2.08,17,2.97,2
JUP,1.887,64.3,1.23,5,2.97,2
KAS,,,2.42,69,2.97,2
KAS,,,1.06,12,2.97,2
KAS,,,2.81,55,2.97,3
KAS,,,5.22,156,2.97,3
KAS,,,0.0,3,2.97,1
KAS,,,11.22,475,2.97,3
KAS,,,4.59,62,2.97,3
KAS,,,1.46,16,2.97,2
PENDLE,,,6.64,33,2.97,3
PENDLE,,,7.19,40,2.97,3
PENDLE,,,4.16,40,2.97,3
PENDLE,,,2.79,45,2.97,2
PENDLE,,,6.08,108,2.97,3
PENDLE,,,0.3,6,2.97,1
PENDLE,,,0.0,5,2.97,1
PENDLE,,,1.4,16,2.97,2
PENDLE,,,0.02,2,2.97,1
PENDLE,,,8.18,213,2.97,3
PENDLE,,,1.33,4,2.97,2
PENDLE,,,0.45,2,2.97,1
PENDLE,,,1.19,3,2.97,1
PENDLE,,,12.04,148,2.97,3
PYTH,,,3.38,41,2.97,3
PYTH,,,2.78,24,2.97,3
PYTH,,,0.74,3,2.97,1
PYTH,,,0.93,8,2.97,1
PYTH,,,5.28,31,2.97,3
PYTH,,,0.89,4,2.97,1
PYTH,,,0.0,1,2.97,1
PYTH,,,10.74,164,2.97,3
PYTH,,,10.91,169,2.97,3
PYTH,,,11.76,300,2.97,3
PYTH,,,4.84,25,2.97,3
PYTH,,,2.29,19,2.97,2
PYTH,,,1.03,8,2.97,1
PYTH,,,0.0,4,2.97,1
TIA,,,2.96,33,2.97,2
TIA,,,4.76,36,2.97,3
TIA,,,3.82,91,2.97,3
TIA,,,6.0,88,2.97,3
TIA,,,0.03,7,2.97,1
TIA,,,0.57,7,2.97,1
TIA,,,0.0,8,2.97,1
TIA,,,2.14,2,2.97,2
TIA,,,0.0,1,2.97,1
TIA,,,1.4,5,2.97,2
TIA,,,0.02,11,2.97,1
TIA,,,10.78,360,2.97,3
TIA,,,1.48,7,2.97,2
TIA,,,0.91,5,2.97,1
TIA,,,0.4,5,2.97,1
TIA,,,0.1,2,2.97,1
TIA,,,0.52,2,2.97,1
