coin,ext_atr_at_entry,rsi_at_entry,max_adverse_pct,duration_h,return_pct,layers
BTC,,,2.95,52,2.97,3
BTC,,,0.48,44,2.97,1
BTC,,,1.21,44,2.97,2
BTC,,,0.0,1,2.97,1
BTC,,,1.42,17,2.97,2
BTC,,,0.96,5,2.97,2
BTC,,,7.26,147,2.97,3
BTC,,,0.18,9,2.97,1
BTC,,,1.17,8,2.97,2
BTC,,,1.49,54,2.97,2
BTC,,,1.16,42,2.97,2
BTC,,,6.55,214,2.97,3
BTC,,,1.9,22,2.97,2
BTC,,,1.23,44,2.97,2
BTC,,,2.91,42,2.97,3
BTC,,,4.56,111,2.97,3
BTC,1.751,51.2,62.48,1784,2.97,3
BTC,1.838,61.5,0.59,14,2.97,1
BTC,2.277,61.5,1.17,21,2.97,2
BTC,2.547,65.9,0.66,8,2.97,1
BTC,2.952,65.9,0.69,10,2.97,1
BTC,1.57,53.3,1.16,27,2.97,1
BTC,1.968,46.5,5.43,128,2.97,3
BTC,2.013,56.1,0.96,57,2.97,1
BTC,2.489,55.3,2.78,48,2.97,2
BTC,2.714,55.3,4.77,210,2.97,3
BTC,1.695,47.5,8.51,1095,2.97,3
BTC,4.046,68.4,2.74,98,2.97,2
BTC,2.907,55.3,4.71,279,2.97,3
BTC,2.583,48.3,17.1,1187,2.97,3
BTC,2.88,62.5,0.72,25,2.97,1
BTC,1.546,56.3,1.87,32,2.97,2
BTC,1.862,58.8,0.67,21,2.97,1
BTC,2.635,59.5,1.45,75,2.97,1
BTC,2.634,75.9,0.32,2,2.97,1
BTC,3.068,66.5,2.41,5,2.97,2
BTC,2.612,58.0,2.1,9,2.97,2
BTC,2.694,58.0,1.28,2,2.97,1
BTC,2.85,58.0,2.43,12,2.97,3
BTC,2.86,56.7,1.27,14,2.97,2
BTC,2.954,56.7,21.26,232,2.97,3
BTC,1.857,53.9,0.58,2,2.97,1
BTC,2.311,53.9,13.55,132,2.97,3
BTC,1.908,62.8,3.18,46,2.97,3
BTC,2.069,63.1,0.54,9,2.97,1
BTC,2.536,63.1,5.4,49,2.97,3
BTC,2.848,75.3,0.21,2,2.97,1
BTC,2.907,75.3,1.49,5,2.97,1
BTC,2.218,49.7,2.56,12,2.97,3
BTC,2.417,49.7,15.28,143,2.97,3
BTC,2.268,52.8,8.98,130,2.97,3
BTC,2.22,66.4,0.0,1,2.97,1
BTC,2.626,66.4,0.61,22,2.97,1
BTC,2.776,69.1,2.05,12,2.97,2
BTC,2.202,59.9,3.03,18,2.97,3
BTC,2.531,59.9,0.62,20,2.97,1
BTC,2.738,60.5,13.36,346,2.97,3
BTC,2.011,54.5,6.27,193,2.97,3
BTC,2.122,59.9,2.89,75,2.97,3
BTC,2.793,65.0,0.73,21,2.97,1
BTC,0.062,44.9,15.75,286,2.97,3
BTC,0.204,55.0,1.85,56,2.97,2
BTC,0.607,44.0,7.92,120,2.97,3
BTC,0.626,54.5,50.48,3835,2.97,3
BTC,3.289,64.9,2.1,31,2.97,2
BTC,2.987,57.1,3.0,81,2.97,3
BTC,2.472,67.7,0.78,24,2.97,1
BTC,2.404,54.0,75.95,20198,2.97,3
BTC,3.134,46.7,8.35,182,2.97,3
BTC,2.641,59.1,1.4,70,2.97,2
BTC,2.848,57.9,8.82,262,2.97,3
BTC,2.179,53.3,31.11,4901,2.97,3
BTC,1.981,51.3,2.65,72,2.97,2
BTC,2.12,70.6,0.0,1,2.97,1
BTC,4.91,66.9,2.64,40,2.97,2
BTC,4.49,67.5,1.46,44,2.97,2
BTC,3.583,56.6,3.94,64,2.97,3
BTC,1.181,45.0,3.94,90,2.97,3
BTC,0.811,54.0,4.79,295,2.97,3
BTC,0.444,49.8,0.36,12,2.97,1
BTC,1.342,49.8,11.28,263,2.97,3
BTC,1.855,65.0,3.6,62,2.97,3
BTC,2.026,64.5,29.17,2911,2.97,3
BTC,4.667,65.1,9.12,1075,2.97,3
BTC,1.585,71.0,0.22,25,2.97,1
BTC,3.705,65.2,5.19,578,2.97,3
BTC,2.821,62.1,10.71,1285,2.97,3
ETH,,,0.07,16,2.97,1
ETH,,,3.54,48,2.97,3
ETH,,,1.0,45,2.97,1
ETH,,,1.49,16,2.97,2
ETH,,,1.26,15,2.97,1
ETH,,,2.72,23,2.97,2
ETH,,,5.51,88,2.97,3
ETH,,,2.38,58,2.97,2
ETH,,,0.29,7,2.97,1
ETH,,,0.66,3,2.97,1
ETH,,,0.0,1,2.97,1
ETH,,,2.55,5,2.97,2
ETH,,,3.72,52,2.97,3
ETH,,,7.07,144,2.97,3
ETH,,,1.33,24,2.97,2
ETH,,,2.26,38,2.97,2
ETH,,,0.06,3,2.97,1
ETH,,,65.09,554,2.97,3
ETH,-2.354,30.0,9.16,2,2.97,2
ETH,-2.311,30.0,3.03,2,2.97,2
ETH,-2.231,30.0,2.82,3,2.97,3
ETH,-2.174,30.0,0.0,1,2.97,1
ETH,-2.382,30.0,0.0,1,2.97,1
ETH,-2.381,30.0,4.45,2,2.97,2
ETH,-2.302,30.0,0.0,1,2.97,1
ETH,-2.15,30.0,0.0,1,2.97,1
ETH,-2.231,30.5,23.17,136,2.97,3
ETH,-2.366,37.3,2.47,5,2.97,2
ETH,-2.42,37.3,1.26,8,2.97,2
ETH,-2.049,37.1,0.78,2,2.97,1
ETH,-2.074,37.1,18.31,318,2.97,3
ETH,-2.733,45.9,1.08,13,2.97,2
ETH,-2.501,47.5,2.73,36,2.97,3
ETH,-2.452,46.7,1.48,31,2.97,2
ETH,-1.936,56.7,0.46,4,2.97,1
ETH,-1.688,56.7,0.02,3,2.97,1
ETH,-1.521,56.7,0.0,1,2.97,1
ETH,-1.095,56.7,1.32,7,2.97,1
ETH,-0.526,60.0,1.39,10,2.97,2
ETH,-0.466,60.0,4.25,19,2.97,3
ETH,-0.462,57.9,11.79,193,2.97,3
ETH,0.432,57.6,0.95,12,2.97,2
ETH,0.748,57.6,2.61,38,2.97,2
ETH,1.549,59.8,1.07,9,2.97,1
ETH,1.827,59.8,9.91,111,2.97,3
ETH,2.301,61.8,2.21,38,2.97,2
ETH,3.46,61.3,4.3,28,2.97,3
ETH,0.984,53.9,0.57,36,2.97,1
ETH,1.452,55.7,0.03,8,2.97,1
ETH,1.781,55.7,1.4,11,2.97,2
ETH,1.918,50.5,3.74,74,2.97,3
ETH,2.06,60.8,0.48,12,2.97,1
ETH,2.541,60.7,9.42,261,2.97,3
ETH,2.389,70.1,1.56,28,2.97,2
ETH,2.789,62.0,0.64,9,2.97,1
ETH,2.462,62.7,1.94,71,2.97,2
ETH,2.508,63.4,8.65,333,2.97,3
ETH,2.012,59.2,10.47,375,2.97,3
ETH,1.601,57.2,5.21,344,2.97,3
ETH,2.899,73.9,1.03,15,2.97,2
ETH,4.611,64.7,5.26,83,2.97,3
ETH,3.595,54.8,9.8,232,2.97,3
ETH,0.507,42.4,19.78,910,2.97,3
ETH,0.825,58.2,5.47,209,2.97,3
ETH,1.705,66.8,1.16,17,2.97,2
ETH,2.712,64.3,9.37,348,2.97,3
ETH,2.316,62.5,0.65,2,2.97,1
ETH,2.364,62.5,0.34,7,2.97,1
ETH,2.049,64.7,1.6,15,2.97,2
ETH,2.555,64.7,1.35,16,2.97,2
ETH,2.719,69.5,0.71,12,2.97,1
ETH,2.424,60.8,0.86,8,2.97,1
ETH,2.93,60.8,1.03,16,2.97,2
ETH,1.473,53.7,2.3,42,2.97,2
ETH,1.932,57.1,1.04,15,2.97,1
ETH,2.307,56.2,1.12,73,2.97,2
ETH,2.715,64.5,0.28,3,2.97,1
ETH,2.797,59.2,12.97,136,2.97,3
ETH,2.056,63.8,1.47,13,2.97,2
ETH,1.932,68.5,2.71,7,2.97,3
ETH,2.992,68.5,4.39,9,2.97,3
ETH,2.946,68.7,0.97,6,2.97,2
ETH,2.907,64.0,2.95,7,2.97,3
ETH,2.381,64.7,1.44,5,2.97,1
ETH,2.545,64.7,2.64,13,2.97,3
ETH,2.541,64.7,1.85,7,2.97,2
ETH,2.838,59.9,0.95,13,2.97,2
ETH,2.642,60.2,4.68,8,2.97,3
ETH,2.677,60.2,1.13,2,2.97,2
ETH,2.99,60.2,8.68,92,2.97,3
ETH,2.82,69.2,1.33,7,2.97,2
ETH,0.447,40.6,0.56,2,2.97,1
ETH,0.824,40.6,1.06,5,2.97,2
ETH,1.116,40.6,22.48,278,2.97,3
ETH,1.026,62.7,2.97,19,2.97,3
ETH,1.204,62.7,0.3,3,2.97,1
ETH,1.458,57.9,0.9,23,2.97,1
ETH,1.784,59.3,6.26,83,2.97,3
ETH,1.632,57.7,1.16,8,2.97,1
ETH,1.842,57.7,18.77,432,2.97,3
ETH,1.421,64.4,0.23,10,2.97,1
ETH,1.652,71.0,2.39,10,2.97,2
ETH,1.912,71.0,1.18,18,2.97,1
ETH,2.591,61.8,1.65,8,2.97,2
ETH,2.946,64.4,5.44,73,2.97,3
ETH,2.851,55.5,8.14,98,2.97,3
ETH,0.982,60.8,1.13,4,2.97,2
ETH,1.146,60.8,1.9,4,2.97,2
ETH,1.501,60.8,1.18,6,2.97,2
ETH,1.996,60.8,0.66,4,2.97,1
ETH,2.277,60.8,2.87,14,2.97,2
ETH,2.512,62.2,1.14,3,2.97,1
ETH,2.699,62.2,2.92,12,2.97,3
ETH,2.743,60.4,1.55,5,2.97,2
ETH,3.006,50.1,62.19,2608,2.97,3
ETH,3.554,53.4,30.05,932,2.97,3
ETH,2.063,63.9,0.48,14,2.97,1
ETH,2.308,64.4,5.57,97,2.97,3
ETH,2.661,65.2,0.85,10,2.97,1
ETH,3.624,70.0,0.62,24,2.97,1
ETH,3.188,57.3,14.96,399,2.97,3
ETH,1.031,55.8,0.88,8,2.97,1
ETH,1.416,53.9,80.97,32444,2.97,3
ETH,4.299,52.0,7.73,110,2.97,3
ETH,2.247,52.0,0.02,8,2.97,1
ETH,2.605,52.0,6.63,370,2.97,3
ETH,2.293,61.8,17.16,592,2.97,3
SOL,,,0.0,1,2.97,1
SOL,,,2.48,3,2.97,2
SOL,,,0.0,1,2.97,1
SOL,,,0.0,1,2.97,1
SOL,,,0.0,1,2.97,1
SOL,,,6.77,5,2.97,3
SOL,,,0.0,1,2.97,1
SOL,,,0.0,1,2.97,1
SOL,,,2.96,3,2.97,2
SOL,,,0.0,1,2.97,1
SOL,,,3.95,4,2.97,3
SOL,,,1.9,3,2.97,2
SOL,,,0.0,1,2.97,1
SOL,,,1.31,3,2.97,1
SOL,,,3.32,2,2.97,2
SOL,,,0.0,1,2.97,1
SOL,,,0.0,1,2.97,1
SOL,,,0.0,1,2.97,1
SOL,,,0.0,1,2.97,1
SOL,,,0.7,2,2.97,1
SOL,,,0.99,2,2.97,1
SOL,,,26.71,326,2.97,3
SOL,,,8.4,4,2.97,3
SOL,,,0.0,1,2.97,1
SOL,,,1.8,7,2.97,2
SOL,,,0.42,2,2.97,1
SOL,,,2.59,3,2.97,2
SOL,,,0.0,1,2.97,1
SOL,,,1.18,2,2.97,1
SOL,,,2.2,4,2.97,2
SOL,,,1.26,2,2.97,2
SOL,,,6.53,33,2.97,3
SOL,,,0.18,2,2.97,1
SOL,,,0.0,1,2.97,1
SOL,,,0.0,1,2.97,1
SOL,,,1.34,4,2.97,2
SOL,,,9.39,25,2.97,3
SOL,,,1.73,3,2.97,2
SOL,,,2.54,4,2.97,2
SOL,,,78.16,3687,2.97,3
SOL,4.683,68.1,12.76,62,2.97,3
SOL,3.047,67.1,11.34,19,2.97,3
SOL,2.376,57.0,2.31,14,2.97,2
SOL,2.483,57.0,4.39,21,2.97,3
SOL,2.268,59.8,1.38,4,2.97,2
SOL,2.519,59.8,0.27,2,2.97,1
SOL,2.538,59.8,1.5,12,2.97,2
SOL,2.861,58.7,1.11,6,2.97,2
SOL,2.904,58.7,3.8,33,2.97,3
SOL,3.0,59.5,1.43,9,2.97,2
SOL,2.099,55.1,4.25,41,2.97,3
SOL,2.179,55.1,1.04,23,2.97,2
SOL,2.322,54.8,2.98,41,2.97,3
SOL,2.502,55.7,7.01,39,2.97,3
SOL,2.731,53.8,0.0,1,2.97,1
SOL,2.94,53.8,0.65,2,2.97,1
SOL,3.923,57.6,23.43,56,2.97,3
SOL,2.697,69.7,6.14,5,2.97,3
SOL,2.986,69.7,2.92,3,2.97,2
SOL,4.094,67.6,7.03,62,2.97,3
