coin,ext_atr_at_entry,rsi_at_entry,max_adverse_pct,duration_h,return_pct,layers
BTC,,,0.94,24,2.97,1
BTC,,,1.1,45,2.97,2
BTC,,,1.38,91,2.97,2
BTC,,,2.93,51,2.97,3
BTC,,,1.36,86,2.97,1
BTC,,,4.06,121,2.97,3
BTC,,,3.91,275,2.97,3
BTC,,,1.58,52,2.97,2
BTC,,,0.85,17,2.97,1
ETH,,,1.33,23,2.97,2
ETH,,,2.29,46,2.97,2
ETH,,,2.78,91,2.97,2
ETH,,,4.68,51,2.97,3
ETH,,,2.98,86,2.97,2
SOL,,,2.09,24,2.97,2
SOL,,,2.96,44,2.97,3
SOL,,,3.46,145,2.97,3
SOL,,,2.89,66,2.97,2
SOL,,,8.47,526,2.97,3
SOL,,,0.66,47,2.97,1
XRP,,,1.58,24,2.97,2
XRP,,,2.04,45,2.97,2
XRP,,,2.93,188,2.97,3
XRP,,,0.63,17,2.97,1
XRP,,,0.24,5,2.97,1
XRP,,,1.39,18,2.97,2
XRP,,,8.26,651,2.97,3
LINK,,,1.66,24,2.97,2
LINK,,,0.02,8,2.97,1
LINK,,,3.77,36,2.97,3
LINK,,,5.38,208,2.97,3
LINK,,,0.35,3,2.97,1
LINK,,,1.5,17,2.97,2
LINK,,,7.72,450,2.97,3
LINK,,,2.91,56,2.97,3
LINK,,,1.18,46,2.97,1
LINK,,,2.98,132,2.97,2
DOGE,,,1.46,70,2.97,2
DOGE,,,3.36,159,2.97,3
DOGE,,,2.14,36,2.97,2
DOGE,,,1.88,14,2.97,2
DOGE,,,2.18,21,2.97,2
DOGE,,,7.13,279,2.97,3
DOGE,,,0.0,1,2.97,1
DOGE,,,0.73,23,2.97,1
DOGE,,,2.07,57,2.97,2
ADA,,,2.63,24,2.97,2
ADA,,,4.52,45,2.97,3
ADA,,,9.21,231,2.97,3
ADA,,,8.06,449,2.97,3
ADA,,,3.27,60,2.97,3
ADA,,,1.77,41,2.97,2
LTC,,,1.35,70,2.97,2
LTC,,,3.52,211,2.97,3
LTC,,,3.36,303,2.97,3
LTC,,,2.83,165,2.97,3
LTC,,,2.13,57,2.97,2
LTC,,,1.46,53,2.97,1
AVAX,,,2.41,24,2.97,2
AVAX,,,8.55,46,2.97,3
AVAX,,,3.14,46,2.97,3
AVAX,,,1.35,44,2.97,2
AVAX,,,4.38,50,2.97,3
AVAX,,,3.36,67,2.97,3
AVAX,,,8.17,531,2.97,3
AVAX,,,1.13,41,2.97,1
DOT,,,2.27,33,2.97,2
DOT,,,5.85,36,2.97,3
DOT,,,4.82,47,2.97,3
DOT,,,10.54,160,2.97,3
DOT,,,0.64,2,2.97,1
DOT,,,11.92,527,2.97,3
DOT,,,2.7,47,2.97,2
DOT,,,5.6,62,2.97,3
UNI,,,1.18,26,2.97,2
UNI,,,3.34,43,2.97,3
UNI,,,7.29,206,2.97,3
UNI,,,0.0,1,2.97,1
UNI,,,0.41,3,2.97,1
UNI,,,2.21,17,2.97,2
UNI,,,10.13,504,2.97,3
UNI,,,0.5,6,2.97,1
UNI,,,0.7,2,2.97,1
UNI,,,1.38,15,2.97,2
ATOM,,,2.03,32,2.97,2
ATOM,,,2.87,38,2.97,3
ATOM,,,1.77,52,2.97,2
ATOM,,,5.8,287,2.97,3
ATOM,,,1.43,51,2.97,2
ATOM,,,0.08,17,2.97,1
ATOM,,,6.23,373,2.97,3
ATOM,,,2.15,17,2.97,2
ATOM,,,2.53,31,2.97,3
ATOM,,,1.28,9,2.97,2
ATOM,,,4.94,114,2.97,3
ATOM,,,4.21,74,2.97,3
ATOM,2.168,65.7,1.37,27,2.97,1
ATOM,2.589,57.9,0.0,2,2.97,1
NEAR,,,2.1,33,2.97,2
NEAR,,,4.25,35,2.97,3
NEAR,,,2.87,10,2.97,2
NEAR,,,2.68,54,2.97,3
NEAR,,,2.38,25,2.97,2
NEAR,,,3.46,49,2.97,3
NEAR,,,0.38,11,2.97,1
NEAR,,,11.32,530,2.97,3
NEAR,,,2.8,4,2.97,2
NEAR,,,3.31,40,2.97,3
NEAR,,,1.37,12,2.97,2
NEAR,,,1.25,10,2.97,1
NEAR,,,3.23,33,2.97,3
NEAR,,,0.0,10,2.97,1
NEAR,,,2.41,10,2.97,2
NEAR,,,2.6,11,2.97,3
NEAR,3.642,63.0,2.9,6,2.97,2
NEAR,0.38,50.7,0.0,1,2.97,1
NEAR,0.43,50.7,2.53,4,2.97,2
NEAR,0.494,50.7,1.69,7,2.97,2
NEAR,0.902,50.7,0.0,1,2.97,1
NEAR,0.952,50.7,2.47,5,2.97,2
NEAR,1.027,50.7,1.47,3,2.97,2
NEAR,1.038,51.2,2.01,3,2.97,2
NEAR,1.28,51.2,1.33,5,2.97,2
NEAR,1.291,51.2,1.19,2,2.97,1
NEAR,1.489,51.2,6.48,28,2.97,3
NEAR,1.399,46.6,10.53,121,2.97,3
NEAR,1.385,57.9,0.39,4,2.97,1
NEAR,1.84,55.2,1.08,6,2.97,1
NEAR,2.356,55.2,4.75,23,2.97,3
HBAR,,,1.51,33,2.97,2
HBAR,,,3.08,37,2.97,3
HBAR,,,7.63,745,2.97,3
HBAR,,,2.22,38,2.97,2
INJ,,,1.31,26,2.97,2
INJ,,,0.82,9,2.97,1
INJ,,,4.63,34,2.97,3
INJ,,,2.92,62,2.97,3
INJ,,,3.65,118,2.97,3
INJ,,,0.99,4,2.97,2
INJ,,,0.61,2,2.97,1
INJ,,,1.29,7,2.97,2
INJ,,,0.72,7,2.97,1
INJ,,,0.15,4,2.97,1
INJ,,,6.47,205,2.97,3
INJ,,,0.0,6,2.97,1
INJ,,,1.84,15,2.97,2
INJ,,,0.0,8,2.97,1
INJ,,,0.0,5,2.97,1
INJ,,,1.14,14,2.97,2
INJ,,,1.22,4,2.97,1
INJ,,,2.95,89,2.97,3
INJ,,,1.24,31,2.97,2
INJ,,,1.96,5,2.97,2
INJ,1.311,46.8,10.52,70,2.97,3
INJ,1.227,53.5,0.54,3,2.97,1
INJ,1.366,51.7,2.53,7,2.97,2
INJ,1.508,51.7,1.25,7,2.97,2
INJ,1.621,51.7,3.57,15,2.97,3
INJ,1.669,43.8,14.1,165,2.97,3
INJ,1.527,50.9,0.0,1,2.97,1
FIL,,,2.23,26,2.97,2
FIL,,,0.61,6,2.97,1
FIL,,,0.03,2,2.97,1
FIL,,,4.5,33,2.97,3
FIL,,,5.67,195,2.97,3
FIL,,,0.0,1,2.97,1
FIL,,,1.07,8,2.97,2
FIL,,,0.0,1,2.97,1
FIL,,,10.66,466,2.97,3
RUNE,,,1.34,24,2.97,2
RUNE,,,1.99,45,2.97,2
RUNE,,,3.75,159,2.97,3
