ext_atr_at_entry,rsi_at_entry,max_adverse_pct,duration_h,return_pct,layers
0,50.0,1.52,26,2.97,2
0,50.0,0.82,9,2.97,1
0,50.0,4.75,34,2.97,3
0,50.0,3.09,62,2.97,3
0,50.0,3.78,119,2.97,3
0,50.0,0.06,3,2.97,1
0,50.0,0.61,2,2.97,1
0,50.0,1.44,9,2.97,2
0,50.0,1.28,5,2.97,1
0,50.0,0.15,4,2.97,1
0,50.0,6.62,206,2.97,3
2.252,75.3,0.0,6,2.97,1
2.27,75.3,0.82,13,2.97,1
0.875,67.1,0.0,8,2.97,1
1.53,67.1,0.0,5,2.97,1
2.122,67.1,1.33,14,2.97,2
2.565,65.8,1.22,4,2.97,1
2.831,65.8,2.86,89,2.97,3
2.872,65.0,1.37,32,2.97,2
2.728,72.7,1.33,17,2.97,1
3.12,69.9,2.14,5,2.97,2
1.311,46.8,10.68,70,2.97,3
1.227,53.5,0.54,3,2.97,1
1.366,51.7,2.83,7,2.97,2
1.508,51.7,1.25,7,2.97,2
1.621,51.7,3.71,16,2.97,3
1.676,43.8,14.24,164,2.97,3
1.527,50.9,0.0,1,2.97,1
