ext_atr_at_entry,rsi_at_entry,max_adverse_pct,duration_h,return_pct,layers
0,50.0,1.31,26,2.97,2
0,50.0,0.82,9,2.97,1
0,50.0,4.63,34,2.97,3
0,50.0,2.92,62,2.97,3
0,50.0,3.65,118,2.97,3
0,50.0,0.99,4,2.97,2
0,50.0,0.61,2,2.97,1
0,50.0,1.29,7,2.97,2
0,50.0,0.72,7,2.97,1
0,50.0,0.15,4,2.97,1
0,50.0,6.47,205,2.97,3
2.108,75.3,0.0,6,2.97,1
2.628,75.3,1.84,15,2.97,2
0.875,67.1,0.0,8,2.97,1
1.53,67.1,0.0,5,2.97,1
2.122,67.1,1.14,14,2.97,2
2.565,65.8,1.22,4,2.97,1
2.831,65.8,2.95,89,2.97,3
2.872,65.0,1.24,31,2.97,2
3.12,69.9,1.96,5,2.97,2
1.311,46.8,10.52,70,2.97,3
1.227,53.5,0.54,3,2.97,1
1.366,51.7,2.53,7,2.97,2
1.508,51.7,1.25,7,2.97,2
1.621,51.7,3.57,15,2.97,3
1.669,43.8,14.1,165,2.97,3
1.527,50.9,0.0,1,2.97,1
