ext_atr_at_entry,rsi_at_entry,max_adverse_pct,duration_h,return_pct,layers
0,50.0,2.26,34,2.97,2
0,50.0,4.58,35,2.97,3
0,50.0,1.45,8,2.97,2
0,50.0,2.94,81,2.97,2
0,50.0,3.79,53,2.97,3
0,50.0,3.48,52,2.97,3
0,50.0,11.83,486,2.97,3
2.131,65.6,2.99,4,2.97,3
2.262,65.6,2.75,38,2.97,3
2.45,69.4,1.11,7,2.97,2
2.757,69.4,1.59,8,2.97,2
1.163,65.0,1.25,10,2.97,1
1.759,65.0,3.37,33,2.97,3
2.152,64.4,0.0,10,2.97,1
2.637,69.6,2.57,10,2.97,2
2.659,69.6,2.75,19,2.97,3
3.642,63.0,3.37,7,2.97,2
0.38,50.7,0.0,1,2.97,1
0.43,50.7,2.95,4,2.97,2
0.494,50.7,1.97,7,2.97,2
0.902,50.7,0.0,1,2.97,1
0.952,50.7,2.88,5,2.97,2
1.027,50.7,1.66,3,2.97,2
1.038,51.2,2.2,3,2.97,2
1.28,51.2,1.33,5,2.97,2
1.291,51.2,1.19,2,2.97,1
1.489,51.2,6.65,28,2.97,3
1.399,46.6,10.65,121,2.97,3
1.385,57.9,0.39,4,2.97,1
1.84,55.2,1.08,6,2.97,1
2.356,55.2,4.92,23,2.97,3
