ext_atr_at_entry,rsi_at_entry,max_adverse_pct,duration_h,return_pct,layers
0,50.0,2.1,33,2.97,2
0,50.0,4.25,35,2.97,3
0,50.0,2.87,10,2.97,2
0,50.0,2.68,54,2.97,3
0,50.0,2.38,25,2.97,2
0,50.0,3.46,49,2.97,3
0,50.0,0.38,11,2.97,1
0,50.0,11.32,530,2.97,3
1.883,65.6,2.8,4,2.97,2
2.422,65.6,3.31,40,2.97,3
2.597,69.4,1.37,12,2.97,2
1.163,65.0,1.25,10,2.97,1
1.759,65.0,3.23,33,2.97,3
2.152,64.4,0.0,10,2.97,1
2.637,69.6,2.41,10,2.97,2
2.659,69.6,2.6,11,2.97,3
3.642,63.0,2.9,6,2.97,2
0.38,50.7,0.0,1,2.97,1
0.43,50.7,2.53,4,2.97,2
0.494,50.7,1.69,7,2.97,2
0.902,50.7,0.0,1,2.97,1
0.952,50.7,2.47,5,2.97,2
1.027,50.7,1.47,3,2.97,2
1.038,51.2,2.01,3,2.97,2
1.28,51.2,1.33,5,2.97,2
1.291,51.2,1.19,2,2.97,1
1.489,51.2,6.48,28,2.97,3
1.399,46.6,10.53,121,2.97,3
1.385,57.9,0.39,4,2.97,1
1.84,55.2,1.08,6,2.97,1
2.356,55.2,4.75,23,2.97,3
