deal_id,symbol,open_time,close_time,regime,layers,invested,pnl,return_pct,duration_h
12,HBAR/USDT,2026-02-22T09:00:00+00:00,2026-02-25T02:00:00+00:00,LONG_DCA,3,1313.91,22.6573,1.72,65.0
1,SOL/USDT,2026-02-22T09:00:00+00:00,2026-02-25T11:00:00+00:00,LONG_DCA,3,1313.91,29.4258,2.24,74.0
9,LTC/USDT,2026-02-22T09:00:00+00:00,2026-02-25T12:00:00+00:00,LONG_DCA,3,1313.91,28.7338,2.19,75.0
13,HBAR/USDT,2026-02-25T03:00:00+00:00,2026-02-25T12:00:00+00:00,LONG_DCA,1,606.72,11.177,1.84,9.0
18,ADA/USDT,2026-02-22T09:00:00+00:00,2026-02-25T12:00:00+00:00,LONG_DCA,3,1313.91,31.8552,2.42,75.0
6,XRP/USDT,2026-02-22T09:00:00+00:00,2026-02-25T13:00:00+00:00,LONG_DCA,3,1313.91,21.2554,1.62,76.0
2,SOL/USDT,2026-02-25T12:00:00+00:00,2026-02-25T14:00:00+00:00,LONG_DCA,1,608.75,13.951,2.29,2.0
10,LTC/USDT,2026-02-25T13:00:00+00:00,2026-02-25T14:00:00+00:00,LONG_DCA,1,608.54,20.872,3.43,1.0
14,HBAR/USDT,2026-02-25T13:00:00+00:00,2026-02-25T14:00:00+00:00,LONG_DCA,1,610.04,10.0809,1.65,1.0
19,ADA/USDT,2026-02-25T13:00:00+00:00,2026-02-25T14:00:00+00:00,LONG_DCA,1,609.48,18.4528,3.03,1.0
3,SOL/USDT,2026-02-25T15:00:00+00:00,2026-02-25T16:00:00+00:00,LONG_DCA,1,612.9,10.786,1.76,1.0
20,ADA/USDT,2026-02-25T15:00:00+00:00,2026-02-25T16:00:00+00:00,LONG_DCA,1,614.98,9.8278,1.6,1.0
7,XRP/USDT,2026-02-25T14:00:00+00:00,2026-02-25T17:00:00+00:00,LONG_DCA,1,606.3,12.591,2.08,3.0
15,HBAR/USDT,2026-02-25T15:00:00+00:00,2026-02-25T17:00:00+00:00,LONG_DCA,1,613.02,11.3969,1.86,2.0
21,ADA/USDT,2026-02-25T17:00:00+00:00,2026-02-25T19:00:00+00:00,LONG_DCA,1,617.89,13.9317,2.25,2.0
16,HBAR/USDT,2026-02-25T18:00:00+00:00,2026-02-27T04:00:00+00:00,LONG_DCA,2,1047.85,18.207,1.74,34.0
4,SOL/USDT,2026-02-25T17:00:00+00:00,2026-03-01T01:00:00+00:00,LONG_DCA,4,1560.43,27.9341,1.79,80.0
5,SOL/USDT,2026-03-01T02:00:00+00:00,2026-03-02T15:00:00+00:00,LONG_DCA,2,1061.41,29.6125,2.79,37.0
